jitter,throughput,latency
0.0,5000000.0,0
0.0,27000000.0,0
0.0625,74000.0,1
0.05859375,48000.0,1
0.054931640625,36333.333333333336,1
0.1139984130859375,40666.666666666664,0
0.1068735122680664,48333.333333333336,0
0.10019391775131226,65000.0,0
0.09393179789185524,81666.66666666667,0
0.08806106052361429,98333.33333333333,0
0.0825572442408884,115000.0,0
0.07739741647583287,131666.66666666666,0
0.07256007794609332,148333.33333333334,0
0.06802507307446248,165000.0,0
0.06377350600730858,181666.66666666666,0
0.05978766188185179,198333.33333333334,0
0.056050933014236054,215333.33333333334,0
0.0525477497008463,232333.33333333334,0
0.04926351534454341,249333.3333333333,0
0.046184545635509444,266333.3333333333,0
0.043298011533290104,283333.3333333333,0
0.04059188581245947,300333.3333333333,0
0.038054892949180755,317333.3333333333,0
0.03567646213985696,334333.3333333333,0
0.0334466832561159,351333.3333333333,0
0.031356265552608655,368333.3333333333,0
0.029396498955570612,385333.3333333333,0
0.09005921777084745,301750.0,1
0.14693051666016949,314500.0,0
0.1377473593689089,327250.0,0
0.12913814940835208,340000.0,0
0.12106701507033008,352750.0,0
0.11350032662843444,365500.0,0
0.10640655621415729,378250.0,0
0.09975614645077246,391000.0,0
0.09352138729759918,403750.0,0
0.08767630059149922,416500.0,0
0.08219653180453051,429250.0,0
0.07705924856674735,442000.0,0
0.07224304553132564,454750.0,0
0.1302278551856178,374000.0,1
0.18458861423651668,384200.0,0
0.1730518258467344,394400.0,0
0.1622360867313135,404600.0,0
0.1520963313106064,414800.0,0
0.1425903106036935,425000.0,0
0.13367841619096266,435200.0,0
0.12532351517902748,445400.0,0
0.11749079548033826,455600.0,0
0.11014762076281712,465800.0,0
0.10326339446514105,476000.0,0
0.09680943231106973,486200.0,0
0.09075884279162787,496400.0,0
0.08508641511715112,506600.0,0
0.07976851417232918,516800.0,0
0.0747829820365586,527000.0,0
0.07010904565927369,537200.0,0
0.1282272303055691,456166.6666666667,1
0.12021302841147102,398285.71428571426,1
0.17519971413575408,405571.4285714286,0
0.16424973200226944,412857.14285714284,0
0.1539841237521276,420142.85714285716,0
0.14436011601761964,427428.5714285714,0
0.1353376087665184,434714.2857142857,0
0.126879008218611,442000.0,0
0.11894907020494781,449285.71428571426,0
0.11151475331713857,456571.4285714286,0
0.10454508123481741,463857.14285714284,0
0.09801101365764132,471142.85714285716,0
0.15438532530403876,418625.0,1
0.14473624247253633,377777.7777777778,1
0.13569022731800282,345100.0,1
0.12720958811062763,318363.63636363635,1
0.1817589888537134,323000.0,0
0.1703990520503563,327636.36363636365,0
0.15974911129720903,332272.7272727273,0
0.14976479184113348,336909.09090909094,0
0.14040449235106264,341545.4545454546,0
0.13162921157912122,346181.8181818182,0
0.12340238585542615,350818.1818181818,0
0.11568973673946202,355454.54545454547,0
0.10845912819324564,360090.9090909091,0
0.10168043268116779,364727.27272727276,0
0.0953254056385948,369363.6363636364,0
0.08936756778618263,374000.0,0
0.08378209479954621,378636.36363636365,0
0.14104571387457457,351333.3333333333,1
0.19473035675741365,355583.3333333333,0
0.1825597094600753,359833.3333333333,0
0.17114972761882058,364083.3333333333,0
0.1604528696426443,368333.3333333333,0
0.15042456528997902,372583.3333333333,0
0.14102302995935534,376833.3333333333,0
0.13220909058689562,381083.3333333333,0
0.12394602242521464,385333.3333333333,0
0.11619939602363873,389583.3333333333,0
0.1089369337721613,393833.3333333333,0
0.10212837541140123,398083.3333333333,0
0.09574535194818865,402333.3333333333,0
0.08976126745142686,406583.3333333333,0
0.08415118823571269,410833.3333333333,0
0.07889173897098065,415083.3333333333,0
0.13646100528529437,387076.9230769231,1
0.12793219245496346,363071.4285714286,1
0.11993643042652824,342266.6666666667,1
0.11244040352487022,324062.5,1
0.16791287830456583,327312.5,0
